fecha|nivel|trade_type|price|amount|profit|volatility|rsi|stochrsi_k|stochrsi_d|description
2025-02-26 22:48:43,068|INFO|buy|84554.8|0.00172|0|5.867068404669425|32.11910479057228|0.5508399029668797|0.40599327390549345|BUY
2025-02-26 23:19:44,099|INFO|buy|84878.66|0.00163|0|0.843058046501076|37.43520678626634|0.6671238263817254|0.5348649155631625|BUY
2025-02-27 00:21:46,929|INFO|buy|84853.86|0.00155|0|0.6191616659799154|38.95381994702417|0.7855856091414934|0.6686666533738456|BUY
2025-02-27 16:23:18,238|INFO|sell|82942.13|0.00251|-23.5309739|1.7482981754681703|29.828003824364274|0.035824879244929934|0.04501917052643382|STOP LOSS
2025-02-27 16:23:18,575|INFO|sell|82942.13|0.00226|-21.16092239999998|1.7482981754681703|29.828003824364274|0.035824879244929934|0.04501917052643382|STOP LOSS
2025-02-27 16:23:19,481|INFO|sell|82942.13|0.00215|-20.011834500000003|1.7482981754681703|29.828003824364274|0.035824879244929934|0.04501917052643382|STOP LOSS
2025-02-27 16:23:20,392|INFO|sell|82942.13|0.00204|-19.2908112|1.7482981754681703|29.828003824364274|0.035824879244929934|0.04501917052643382|STOP LOSS
2025-02-27 16:23:20,733|INFO|sell|82942.13|0.00194|-18.176345|1.7482981754681703|29.828003824364274|0.035824879244929934|0.04501917052643382|STOP LOSS
2025-02-27 17:55:25,211|INFO|buy|84307.25|0.00202|0|9.73889216335049|39.64920381394256|0.08436738542651447|0.057012750769242976|BUY
2025-02-27 18:26:26,171|INFO|buy|84169.14|0.00192|0|49.91952268019283|38.981555539031895|0.16687212389973574|0.09880301269146673|BUY
2025-02-27 21:32:31,953|INFO|sell|82646.58|0.00239|-22.3420546|2.0857746044547656|30.377119732282367|0.25694255745280964|0.34274224393673397|STOP LOSS
2025-02-27 21:32:32,875|INFO|sell|82646.58|0.00185|-17.159157000000004|2.0857746044547656|30.377119732282367|0.25694255745280964|0.34274224393673397|STOP LOSS
2025-02-27 21:32:33,233|INFO|sell|82646.58|0.00175|-16.52682499999999|2.0857746044547656|30.377119732282367|0.25694255745280964|0.34274224393673397|STOP LOSS
2025-02-27 21:32:34,158|INFO|sell|82646.58|0.00167|-15.56261309999999|2.0857746044547656|30.377119732282367|0.25694255745280964|0.34274224393673397|STOP LOSS
2025-02-27 22:03:35,158|INFO|sell|82067.99|0.00279|-27.099967499999998|0.7223920826812619|28.21619597134955|0.11153862549322711|0.24634203892774345|STOP LOSS
2025-02-27 22:03:35,517|INFO|sell|82067.99|0.00267|-24.419793299999977|0.7223920826812619|28.21619597134955|0.11153862549322711|0.24634203892774345|STOP LOSS
2025-02-28 00:06:40,137|INFO|sell|79911.75|0.00163|-15.09096379999999|1.1616651134124285|21.326941510586337|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:06:40,480|INFO|sell|79911.75|0.00155|-14.258403500000002|1.1616651134124285|21.326941510586337|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:06:40,823|INFO|sell|79911.75|0.00148|-13.617598400000002|1.1616651134124285|21.326941510586337|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:06:41,744|INFO|sell|79911.75|0.0014|-12.681340000000008|1.1616651134124285|21.326941510586337|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:36:43,822|INFO|sell|79743.96|0.00134|-12.121934799999982|1.4151830571350281|20.87478496453096|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:36:44,735|INFO|sell|79743.96|0.00127|-11.275034599999996|1.4151830571350281|20.87478496453096|0.0|0.03229741598238151|STOP LOSS
2025-02-28 00:36:45,078|INFO|sell|79743.96|0.0008|-7.137495999999997|1.4151830571350281|20.87478496453096|0.0|0.03229741598238151|STOP LOSS
2025-02-28 02:09:49,246|INFO|buy|79949.11|0.00307|0|1.394166396274894|23.846181444145827|0.05156622286455984|0.01718874095485328|BUY
2025-02-28 03:11:52,111|INFO|buy|79686.1|0.00293|0|0.671319426238252|22.541660226014812|0.036532036329922864|0.01217734544330762|BUY
2025-02-28 03:42:53,663|INFO|sell|79254.02|0.00094|-8.288872999999997|1.4876940924066813|19.209847363133335|0.0|0.0|STOP LOSS
2025-02-28 03:42:54,006|INFO|sell|79254.02|0.00089|-7.940268499999994|1.4876940924066813|19.209847363133335|0.0|0.0|STOP LOSS
2025-02-28 03:42:54,348|INFO|sell|79254.02|0.00085|-7.65595|1.4876940924066813|19.209847363133335|0.0|0.0|STOP LOSS
2025-02-28 04:43:56,455|INFO|sell|78726.0|0.00122|-10.850741000000003|47.003732240916754|17.866723196368227|0.0|0.0|STOP LOSS
2025-02-28 04:43:56,794|INFO|sell|78726.0|0.001|-8.891149999999994|47.003732240916754|17.866723196368227|0.0|0.0|STOP LOSS
2025-02-28 04:43:57,132|INFO|sell|78726.0|0.00231|-20.386096499999987|47.003732240916754|17.866723196368227|0.0|0.0|STOP LOSS
2025-02-28 05:13:58,636|INFO|buy|79359.36|0.00315|0|48.23119249747134|23.672210195919703|0.05590337438056748|0.018634458126855828|BUY
2025-02-28 05:45:00,794|INFO|buy|80340.67|0.00295|0|48.74274810890278|33.92675491036414|0.17509941478035176|0.05836647159345059|BUY
2025-02-28 06:16:02,906|INFO|buy|79942.46|0.00282|0|47.620314050912135|32.023709518147726|0.3198224447698731|0.1632668603881989|BUY
2025-02-28 06:47:04,442|INFO|buy|79951.11|0.00268|0|47.620314050912135|32.06275825427939|0.32026971272510857|0.1634159497066107|BUY
2025-02-28 07:18:06,574|INFO|buy|80404.46|0.00253|0|47.78027740908215|35.774925908494|0.5311398350041319|0.34532658286331763|BUY
2025-02-28 07:49:08,699|INFO|buy|80685.56|0.0024|0|48.19937809173146|38.31386580857329|0.5604930824792936|0.35511099868837154|BUY
2025-02-28 08:20:10,804|INFO|buy|80426.93|0.00228|0|0.8654807401364598|36.16852748860837|0.5686841171581268|0.4793111023917083|BUY
2025-02-28 08:51:12,915|INFO|buy|80261.32|0.00217|0|1.862717747953223|35.26341734999045|0.558234872276814|0.475828020764604|BUY
2025-02-28 11:09:31,277|INFO|sell|82845.5|0.00315|10.981340999999999|1.054652244284329|55.28188098553391|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:32,864|INFO|sell|83860.0|0.00307|12.006432299999997|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:33,208|INFO|sell|83860.0|0.00293|12.229526999999983|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:33,561|INFO|sell|83860.0|0.00295|10.382023500000004|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:33,912|INFO|sell|83860.0|0.00282|11.047462799999982|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:34,264|INFO|sell|83860.0|0.00268|10.4758252|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:35,184|INFO|sell|83860.0|0.00253|8.742516199999985|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:35,553|INFO|sell|83860.0|0.00228|7.827399600000016|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 11:40:35,902|INFO|sell|83860.0|0.00217|7.809135599999985|3.2642762125612936|60.73784537960478|1.0|0.8784311167218138|TAKE PROFIT
2025-02-28 12:42:39,273|INFO|sell|84436.48|0.0024|9.002207999999994|1.459241998931179|63.4134523665601|1.0|0.9594885068411322|TAKE PROFIT
2025-03-02 11:44:58,693|INFO|sell|88081.47|0.00304|11.984044799999987|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:44:59,603|INFO|sell|88081.47|0.00289|11.587368300000005|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:44:59,955|INFO|sell|88081.47|0.0026|9.630686|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:00,304|INFO|sell|88081.47|0.00247|9.029529600000018|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:00,648|INFO|sell|88081.47|0.00236|9.574283999999986|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:00,996|INFO|sell|88081.47|0.00223|8.080382700000012|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:01,341|INFO|sell|88081.47|0.00211|7.274541499999987|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:01,691|INFO|sell|88081.47|0.00201|6.8350250999999895|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:02,034|INFO|sell|88081.47|0.00172|6.065872399999997|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:02,384|INFO|sell|88081.47|0.00202|7.623924400000003|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 11:45:02,730|INFO|sell|88081.47|0.00192|7.5116736000000035|4.128039386901294|70.63749401856901|0.3333333333333333|0.17544021639534027|TAKE PROFIT
2025-03-02 12:46:04,926|INFO|sell|91421.84|0.00117|4.972535099999999|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:05,266|INFO|sell|91421.84|0.00111|4.4211410999999945|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:05,614|INFO|sell|91421.84|0.00105|4.235553|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:05,964|INFO|sell|91421.84|0.00221|10.151436100000009|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:06,315|INFO|sell|91421.84|0.0021|9.499727999999985|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
2025-03-02 12:46:06,667|INFO|sell|91421.84|0.00271|16.9070125|5.459038309008699|81.67576284356633|0.6666666666666666|0.35096911007097864|TAKE PROFIT
